Обозначение	Тип	Наименование	Ревизия	Описание
ASDB.04.04.109.00.80	AS2_AssZhgut	ASDB.04.04.109.00.80	A	Жгут МС21-915002-S002
ASDB.04.04.110.00.80	AS2_AssZhgut	ASDB.04.04.110.00.80	A	Жгут МС21-915003-S003
ASDB.04.04.111.00.80	AS2_AssZhgut	ASDB.04.04.111.00.80	A	Жгут МС21-915004-S004
ASDB.04.04.112.00.80	AS2_AssZhgut	ASDB.04.04.112.00.80	A	Жгут МС21-915005-S005
ASDB.04.04.113.00.80	AS2_AssZhgut	ASDB.04.04.113.00.80	A	Жгут MC21-914102-QR102
ASDB.04.04.114.00.80	AS2_AssZhgut	ASDB.04.04.114.00.80	A	Жгут MC21-914101-QR101
ASDB.04.04.115.00.80	AS2_AssZhgut	ASDB.04.04.115.00.80	A	Жгут MC21-914104-QR104
ASDB.04.04.116.00.80	AS2_AssZhgut	ASDB.04.04.116.00.80	A	Жгут MC21-914103-QR103
ASDB.04.04.117.00.80	AS2_AssZhgut	ASDB.04.04.117.00.80	A	Жгут MC21-914105-QR105
ASDB.04.04.118.00.80	AS2_AssZhgut	ASDB.04.04.118.00.80	A	Жгут MC21-914202-QL202
ASDB.04.04.119.00.80	AS2_AssZhgut	ASDB.04.04.119.00.80	A	Жгут MC21-914201-QL201
ASDB.04.04.120.00.80	AS2_AssZhgut	ASDB.04.04.120.00.80	A	Жгут MC21-914204-QL204
ASDB.04.04.121.00.80	AS2_AssZhgut	ASDB.04.04.121.00.80	A	Жгут MC21-914203-QL203
ASDB.04.04.122.00.80	AS2_AssZhgut	ASDB.04.04.122.00.80	A	Жгут MC21-914205-QL205
ASDB.04.04.123.00.80	AS2_AssZhgut	ASDB.04.04.123.00.80	C	Жгут MC21-911301-A201
ASDB.04.04.124.00.80	AS2_AssZhgut	ASDB.04.04.124.00.80	D	Жгут MC21-911302-A202
ASDB.04.04.125.00.80	AS2_AssZhgut	ASDB.04.04.125.00.80	D	Жгут MC21-911303-A203
ASDB.04.04.126.00.80	AS2_AssZhgut	ASDB.04.04.126.00.80	D	Жгут MC21-911313-A213
ASDB.04.04.127.00.80	AS2_AssZhgut	ASDB.04.04.127.00.80	C	Жгут MC21-911401-A301
ASDB.04.04.128.00.80	AS2_AssZhgut	ASDB.04.04.128.00.80	D	Жгут MC21-911402-A302
ASDB.04.04.129.00.80	AS2_AssZhgut	ASDB.04.04.129.00.80	D	Жгут MC21-911403-A303
ASDB.04.04.130.00.80	AS2_AssZhgut	ASDB.04.04.130.00.80	C	Жгут MC21-911404-A304
ASDB.04.04.131.00.80	AS2_AssZhgut	ASDB.04.04.131.00.80	C	Жгут MC21-911405-A305
ASDB.04.04.132.00.80	AS2_AssZhgut	ASDB.04.04.132.00.80	C	Жгут MC21-911406-A306
ASDB.04.04.133.00.80	AS2_AssZhgut	ASDB.04.04.133.00.80	D	Жгут MC21-911407-A307
ASDB.04.04.134.00.80	AS2_AssZhgut	ASDB.04.04.134.00.80	A	Жгут МС21-913101-ЕL001
ASDB.04.04.135.00.80	AS2_AssZhgut	ASDB.04.04.135.00.80	A	Жгут МС21-913102-ЕR002
ASDB.04.04.136.00.80	AS2_AssZhgut	ASDB.04.04.136.00.80	A	Жгут МС21-913103-EL003
ASDB.04.04.137.00.80	AS2_AssZhgut	ASDB.04.04.137.00.80	A	Жгут МС21-913104-ЕR004
ASDB.04.04.138.00.80	AS2_AssZhgut	ASDB.04.04.138.00.80	A	Жгут МС21-913105-EL005
ASDB.04.04.139.00.80	AS2_AssZhgut	ASDB.04.04.139.00.80	A	Жгут MC21-913108-EL008
ASDB.04.04.140.00.80	AS2_AssZhgut	ASDB.04.04.140.00.80	A	Жгут MC21-913110-EL010
ASDB.04.04.142.00.80	AS2_AssZhgut	ASDB.04.04.142.00.80	A	Жгут MC21-913106-ER006
ASDB.04.04.143.00.80	AS2_AssZhgut	ASDB.04.04.143.00.80	A	Жгут MC21-913109-ER009
ASDB.04.04.144.00.80	AS2_AssZhgut	ASDB.04.04.144.00.80	A	Жгут MC21-913111-ER011
ASDB.04.04.145.00.80	AS2_AssZhgut	ASDB.04.04.145.00.80	A	Жгут MC21-913113-ER013
ASDB.04.04.146.00.80	AS2_AssZhgut	ASDB.04.04.146.00.80	A	Жгут MC21-913114-EU014
